Date,ChurnCount
2021-01-01,113
2021-02-01,108
2021-03-01,137
2021-04-01,125
2021-05-01,133
2021-06-01,101
2021-07-01,115
2021-08-01,89
2021-09-01,94
2021-10-01,84
2021-11-01,69
2021-12-01,97
2022-01-01,115
2022-02-01,146
2022-03-01,148
2022-04-01,156
2022-05-01,152
2022-06-01,139
2022-07-01,120
2022-08-01,112
2022-09-01,101
2022-10-01,105
2022-11-01,109
2022-12-01,119
2023-01-01,126
2023-02-01,137
2023-03-01,177
2023-04-01,185
2023-05-01,175
2023-06-01,168
2023-07-01,155
2023-08-01,134
2023-09-01,116
2023-10-01,105
2023-11-01,104
2023-12-01,137
2024-01-01,150
2024-02-01,176
2024-03-01,177
2024-04-01,181
2024-05-01,178
2024-06-01,170
2024-07-01,158
2024-08-01,136
2024-09-01,118
2024-10-01,124
2024-11-01,134
2024-12-01,142
2025-01-01,165
2025-02-01,178
2025-03-01,203
2025-04-01,215
2025-05-01,208
2025-06-01,210
2025-07-01,182
2025-08-01,156
2025-09-01,144
2025-10-01,149
2025-11-01,141
2025-12-01,158
